stt,Player,Min,MarketValue
138,Joachim Andersen,2133.0,€31.4M
139,Joe Aribo,1909.0,€6.9M
140,Joelinton,2393.0,€47.5M
141,John McGinn,1992.0,€22.5M
142,Jordan Ayew,1310.0,€4.2M
143,Jordan Pickford,2970.0,€22.6M
144,Joshua Zirkzee,1402.0,€43.7M
145,José Sá,2250.0,€8.5M
146,João Gomes,2601.0,€51.1M
147,João Pedro,1948.0,€61.3M
148,Joël Veltman,1643.0,€5.7M
149,Joško Gvardiol,2917.0,€78.7M
150,Jurriën Timber,2417.0,€65.5M
151,Justin Kluivert,2026.0,€44.8M
152,Jørgen Strand Larsen,2387.0,€30.8M
153,Kai Havertz,1839.0,€70.5M
154,Kalvin Phillips,1214.0,€17.2M
155,Kamaldeen Sulemana,1045.0,€18.5M
156,Kaoru Mitoma,2493.0,€50.6M
157,Keane Lewis-Potter,2714.0,€27.1M
158,Kenny Tete,1348.0,€14M
159,Kepa Arrizabalaga,2340.0,€12M
160,Kevin De Bruyne,1455.0,€20.1M
161,Kevin Schade,1931.0,€29.7M
162,Kieran Trippier,1102.0,€5.1M
163,Kobbie Mainoo,1352.0,€66M
164,Konstantinos Mavropanos,1854.0,€19.1M
165,Kristoffer Ajer,1388.0,€21.5M
166,Kyle Walker-Peters,2738.0,€16.6M
167,Kyle Walker,970.0,N/A
168,Leandro Trossard,2264.0,€31.8M
169,Leif Davis,2563.0,€28.2M
170,Leny Yoro,979.0,€71M
171,Leon Bailey,1138.0,€39.2M
172,Lesley Ugochukwu,1357.0,€27M
173,Levi Colwill,2699.0,N/A
174,Lewis Dunk,1903.0,€7.4M
175,Lewis Cook,2707.0,€19.3M
176,Lewis Hall,2189.0,N/A
177,Liam Delap,2354.0,N/A
178,Lisandro Martínez,1751.0,€49.2M
179,Lucas Bergvall,1122.0,N/A
180,Lucas Digne,2241.0,€13.6M
181,Lucas Paquetá,2167.0,€71.2M
182,Luis Díaz,2150.0,€71M
183,Luke Woolfenden,1007.0,€2M
184,Mads Roerslev,1101.0,N/A
185,Mads Hermansen,2295.0,€19.8M
186,Malo Gusto,1819.0,N/A
187,Manuel Akanji,1711.0,€42.8M
188,Manuel Ugarte Ribeiro,1590.0,€60.4M
189,Marc Cucurella,2538.0,€39.4M
190,Marc Guéhi,2879.0,N/A
191,Marcos Senesi,1008.0,€20.4M
192,Marcus Rashford,978.0,N/A
193,Marcus Tavernier,1561.0,€24.4M
194,Mario Lemina,1364.0,N/A
195,Mark Flekken,2825.0,€13.6M
196,Martin Ødegaard,2040.0,€126.5M
197,Mateo Kovačić,1960.0,€25.3M
198,Mateus Fernandes,2499.0,€22.5M
199,Matheus Cunha,2253.0,€62.6M
200,Matheus Nunes,1404.0,€42.3M
201,Matt Doherty,1818.0,€4.2M
202,Matthijs de Ligt,2089.0,N/A
203,Matty Cash,1710.0,N/A
204,Matz Sels,2970.0,€9.1M
205,Max Kilman,2898.0,N/A
206,Maxence Lacroix,2756.0,€27.7M
207,Micky van de Ven,950.0,€61.8M
208,Mikel Merino,1401.0,€40.5M
209,Mikkel Damsgaard,2495.0,€28.6M
210,Milos Kerkez,2897.0,€61.5M
211,Mohamed Salah,2921.0,€38.5M
212,Mohammed Kudus,2241.0,€61.7M
213,Moisés Caicedo,2901.0,€80.7M
214,Morgan Rogers,2763.0,€69M
215,Morgan Gibbs-White,2377.0,€61.7M
216,Murillo,2838.0,€68.4M
217,Myles Lewis-Skelly,1078.0,N/A
218,Nathan Collins,2970.0,N/A
219,Neco Williams,2144.0,€23.4M
220,Nick Pope,2070.0,€11.7M
221,Nicolas Jackson,2025.0,€66.2M
222,Nicolás Domínguez,1624.0,€18.8M
223,Nikola Milenković,2880.0,€38M
224,Noni Madueke,1646.0,€51.6M
225,Noussair Mazraoui,2565.0,€43M
226,Nélson Semedo,2488.0,€8.4M
227,Ola Aina,2569.0,€18.8M
228,Ollie Watkins,2263.0,€61.4M
229,Omar Marmoush,916.0,€79.1M
230,Omari Hutchinson,2223.0,N/A
231,Orel Mangala,1261.0,€24.4M
232,Pape Matar Sarr,1591.0,€50.8M
233,Pau Torres,1729.0,€45.3M
234,Paul Onuachu,984.0,€12.7M
235,Pedro Porro,2463.0,N/A
236,Pedro Neto,1833.0,€60.6M
237,Pervis Estupiñán,2042.0,N/A
238,Phil Foden,1686.0,€105.7M
239,Radu Drăgușin,1252.0,€28.4M
240,Rasmus Højlund,1654.0,N/A
241,Rayan Aït-Nouri,2699.0,N/A
242,Raúl Jiménez,2044.0,€5.1M
243,Riccardo Calafiori,925.0,€49.3M
244,Rico Lewis,1810.0,€62.7M
245,Robert Sánchez,2430.0,€24.9M
246,Rodrigo Muniz,964.0,€8.2M
247,Rodrigo Bentancur,1518.0,€31.5M
248,Ryan Manning,1279.0,€3.9M
249,Ryan Gravenberch,2831.0,€85.3M
250,Ryan Yates,1775.0,€18.3M
251,Ryan Christie,2117.0,€16.2M
252,Rúben Dias,1911.0,N/A
253,Sam Morsy,2329.0,€1.3M
254,Sammie Szmodics,979.0,€14.1M
255,Sander Berge,1972.0,€27.8M
256,Sandro Tonali,2180.0,N/A
257,Santiago Bueno,1671.0,€11.2M
258,Saša Lukić,2034.0,€12.1M
259,Sepp van den Berg,2136.0,€26.4M
260,Son Heung-min,2004.0,€30.7M
261,Stefan Ortega,1100.0,€5.8M
262,Stephy Mavididi,1615.0,€12.9M
263,Sávio,1734.0,€74.8M
264,Taylor Harwood-Bellis,2474.0,€29.9M
265,Thomas Partey,2437.0,€15.2M
266,Timothy Castagne,1625.0,€17.4M
267,Tomáš Souček,2161.0,€23.2M
268,Tosin Adarabioyo,1229.0,€24.3M
269,Toti Gomes,2164.0,€18.6M
270,Trent Alexander-Arnold,2165.0,N/A
271,Trevoh Chalobah,1060.0,€20.1M
272,Tyler Dibling,1684.0,N/A
273,Tyler Adams,1530.0,€24.4M
274,Tyrick Mitchell,2852.0,€24.6M
275,Tyrone Mings,1051.0,€5.8M
276,Valentino Livramento,2390.0,€49.3M
277,Victor Bernth Kristiansen,2380.0,N/A
278,Virgil van Dijk,2970.0,€24.3M
279,Vitaliy Mykolenko,2632.0,N/A
280,Vitaly Janelt,2254.0,€27.1M
281,Wes Burns,926.0,€2.1M
282,Wesley Fofana,1172.0,€30.3M
283,Wilfred Ndidi,1967.0,€20.3M
284,Will Hughes,1869.0,€11.1M
285,William Saliba,2814.0,€79.5M
286,Wout Faes,2365.0,€25M
287,Yankuba Minteh,1470.0,€42.6M
288,Yasin Ayari,1647.0,€21.4M
289,Yehor Yarmoliuk,1039.0,€18M
290,Yoane Wissa,2470.0,€31.4M
291,Youri Tielemans,2915.0,€41.5M
292,Yukinari Sugawara,1467.0,€15.7M
293,Yves Bissouma,1210.0,€29.8M
294,Álex Moreno,955.0,€11M
295,İlkay Gündoğan,1967.0,€12.1M
296,Łukasz Fabiański,1070.0,N/A
