Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
281,Antonín Kinský,cz CZE,GK,Tottenham,22-042,2003,4.0,156,134,154,2,0,0,156,0,0,,0,,97,444,267,1,0,0,0,0,98,0,Matches
282,Jakub Kiwior,pl POL,DF,Arsenal,25-068,2000,8.5,610,59,194,366,50,4,610,4,3,75.0,1,25.0,350,1405,808,5,4,1,3,1,463,0,Matches
283,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-354,1999,22.5,937,23,91,314,552,114,931,81,33,40.7,38,46.9,553,3554,2006,68,46,34,46,24,607,142,Matches
284,Ibrahima Konaté,fr FRA,DF,Liverpool,25-334,1999,24.8,1917,207,818,999,106,21,1917,4,2,50.0,1,25.0,1137,5235,3020,21,13,0,8,2,1386,2,Matches
285,Ezri Konsa,eng ENG,DF,Aston Villa,27-183,1997,28.6,1693,213,795,807,99,20,1693,17,7,41.2,7,41.2,986,4914,2465,16,11,2,16,9,1177,11,Matches
286,Mateo Kovačić,hr CRO,MF,Manchester City,30-353,1994,21.8,1859,48,274,1063,543,16,1859,38,20,52.6,11,28.9,1259,7419,3432,51,71,3,16,29,1506,15,Matches
287,Caleb Kporha,eng ENG,DF,Crystal Palace,18-283,2006,0.1,11,1,4,2,5,0,11,0,0,,0,,4,46,36,1,1,0,0,2,3,0,Matches
288,Emil Krafth,se SWE,DF,Newcastle Utd,30-265,1994,3.2,164,30,87,59,19,4,164,1,0,0.0,1,100.0,72,327,133,3,3,0,2,2,85,1,Matches
289,Mohammed Kudus,gh GHA,"FW,MF",West Ham,24-265,2000,24.9,1100,11,149,451,537,111,1100,177,77,43.5,83,46.9,719,4711,2242,87,55,38,63,84,860,189,Matches
290,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-364,2000,24.8,1218,21,136,408,698,153,1218,109,36,33.0,65,59.6,795,5974,3149,117,66,38,73,72,871,207,Matches
291,Maxence Lacroix,fr FRA,DF,Crystal Palace,25-018,2000,30.6,1735,313,1058,612,72,36,1735,13,8,61.5,3,23.1,928,4307,1935,8,4,0,21,3,1022,7,Matches
292,Adam Lallana,eng ENG,MF,Southampton,36-349,1988,4.0,318,19,91,155,73,6,318,12,5,41.7,5,41.7,178,831,366,6,8,0,10,6,245,10,Matches
293,Tariq Lamptey,gh GHA,DF,Brighton,24-206,2000,8.5,489,25,147,208,137,9,489,27,9,33.3,15,55.6,267,1867,893,25,13,2,9,4,276,40,Matches
294,Will Lankshear,eng ENG,"FW,MF",Tottenham,20-004,2005,0.1,3,0,0,2,1,0,3,0,0,,0,,3,3,0,0,0,0,2,0,3,1,Matches
295,Roméo Lavia,be BEL,MF,Chelsea,21-108,2004,6.0,344,12,86,209,53,1,344,12,7,58.3,5,41.7,204,935,407,3,8,0,1,6,249,6,Matches
296,Mario Lemina,ga GAB,"MF,DF",Wolves,31-235,1993,15.2,809,92,324,378,119,18,809,16,10,62.5,4,25.0,382,2068,1038,8,12,2,21,11,482,21,Matches
297,Bernd Leno,de GER,GK,Fulham,33-051,1992,33.0,1305,1046,1296,9,0,0,1305,0,0,,0,,867,3475,1914,0,0,0,0,0,767,0,Matches
298,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,30-181,1994,22.6,1267,95,402,652,223,26,1267,12,6,50.0,4,33.3,595,2262,1001,11,10,0,14,15,745,24,Matches
299,Rico Lewis,eng ENG,"DF,MF",Manchester City,20-154,2004,20.1,1399,51,286,702,426,42,1399,21,9,42.9,11,52.4,815,4008,2032,36,38,8,19,19,1002,68,Matches
300,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,24-061,2001,30.2,1414,93,430,542,460,69,1414,94,38,40.4,47,50.0,747,5449,2921,92,61,34,42,18,835,143,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
301,Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-210,2006,12.0,702,18,123,384,208,14,702,25,12,48.0,9,36.0,401,2133,1332,29,21,5,9,8,482,32,Matches
302,Matthijs de Ligt,nl NED,DF,Manchester Utd,25-255,1999,23.2,1584,181,813,722,56,29,1584,4,2,50.0,2,50.0,1063,4696,2219,7,3,0,5,3,1142,6,Matches
303,Pedro Lima,br BRA,DF,Wolves,18-297,2006,0.8,48,0,9,12,28,3,48,3,1,33.3,2,66.7,22,120,83,4,3,1,1,0,30,11,Matches
304,Victor Lindelöf,se SWE,DF,Manchester Utd,30-281,1994,4.9,248,37,149,92,7,3,248,0,0,,0,,127,559,239,1,0,0,1,0,161,1,Matches
305,Jesper Lindstrøm,dk DEN,FW,Everton,25-054,2000,13.8,625,22,127,206,303,40,625,43,8,18.6,31,72.1,302,1627,780,30,19,7,31,24,347,81,Matches
306,Valentino Livramento,eng ENG,DF,Newcastle Utd,22-163,2002,26.6,1659,104,543,767,374,28,1659,47,21,44.7,19,40.4,867,5184,2741,68,37,9,24,34,944,85,Matches
307,Sean Longstaff,eng ENG,MF,Newcastle Utd,27-176,1997,8.9,433,23,122,193,121,21,433,7,2,28.6,4,57.1,248,1176,429,4,10,2,9,7,308,22,Matches
308,Saša Lukić,rs SRB,MF,Fulham,28-254,1996,22.6,1302,48,282,744,289,15,1302,17,8,47.1,5,29.4,726,3903,1973,37,37,4,20,7,835,28,Matches
309,Joe Lumley,eng ENG,GK,Southampton,30-068,1995,3.0,164,116,161,3,0,0,164,0,0,,0,,103,476,296,0,0,0,0,0,108,0,Matches
310,Massimo Luongo,au AUS,MF,Ipswich Town,32-211,1992,2.1,73,9,33,24,16,1,73,0,0,,0,,38,140,25,0,0,0,2,3,41,1,Matches
311,Ian Maatsen,nl NED,DF,Aston Villa,23-045,2002,9.9,756,42,200,278,286,40,756,20,10,50.0,10,50.0,404,2071,974,26,15,11,18,20,463,84,Matches
312,Alexis Mac Allister,ar ARG,MF,Liverpool,26-121,1998,27.5,1770,52,265,921,603,56,1770,42,16,38.1,21,50.0,869,3570,1887,32,39,3,29,22,1175,75,Matches
313,James Maddison,eng ENG,MF,Tottenham,28-152,1996,19.6,1438,25,207,677,567,76,1438,74,31,41.9,33,44.6,1010,5042,2227,43,39,19,23,24,1112,92,Matches
314,Noni Madueke,eng ENG,FW,Chelsea,23-045,2002,18.3,793,17,78,219,509,157,793,76,32,42.1,37,48.7,534,4427,2826,124,42,75,40,23,614,198,Matches
315,Gabriel Magalhães,br BRA,DF,Arsenal,27-126,1997,26.3,1873,189,672,985,225,40,1873,5,4,80.0,1,20.0,1116,4470,2669,10,22,0,9,2,1366,11,Matches
316,Edmond-Paris Maghoma,eng ENG,"MF,FW",Brentford,23-351,2001,1.3,101,2,18,58,27,4,101,4,3,75.0,1,25.0,68,414,221,4,3,1,2,0,75,4,Matches
317,Harry Maguire,eng ENG,DF,Manchester Utd,32-050,1993,15.8,1085,133,541,497,60,35,1085,5,2,40.0,3,60.0,640,3970,1629,6,6,3,6,2,702,5,Matches
318,Kobbie Mainoo,eng ENG,MF,Manchester Utd,20-005,2005,15.0,888,17,170,503,223,31,888,42,20,47.6,20,47.6,547,2401,1045,19,13,9,27,31,631,36,Matches
319,Tyrell Malacia,nl NED,DF,Manchester Utd,25-250,1999,1.1,62,2,20,27,15,0,62,1,1,100.0,0,0.0,37,190,118,3,2,0,1,2,43,6,Matches
320,Donyell Malen,nl NED,FW,Aston Villa,26-105,1999,3.0,110,2,7,29,80,18,110,10,3,30.0,5,50.0,63,478,251,9,5,5,8,6,71,23,Matches
321,Orel Mangala,be BEL,MF,Everton,27-037,1998,14.0,621,22,133,335,157,13,621,24,14,58.3,9,37.5,298,1574,576,6,6,3,12,12,406,19,Matches
322,Ryan Manning,ie IRL,"DF,MF",Southampton,28-314,1996,14.2,844,63,224,348,281,21,844,32,11,34.4,13,40.6,427,1777,857,12,13,4,16,5,506,68,Matches
323,Solly March,eng ENG,"FW,MF",Brighton,30-278,1994,1.2,81,0,5,26,50,3,81,4,1,25.0,3,75.0,32,211,74,2,0,1,2,1,42,14,Matches
324,Omar Marmoush,eg EGY,"FW,MF",Manchester City,26-076,1999,10.2,389,2,27,114,253,52,389,35,14,40.0,17,48.6,249,1535,730,20,14,11,34,13,282,63,Matches
325,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23-310,2001,21.7,860,15,83,218,571,162,860,103,30,29.1,57,55.3,576,4268,2279,107,29,55,48,33,655,259,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
326,Emiliano Martínez,ar ARG,GK,Aston Villa,32-234,1992,32.0,1307,990,1292,15,0,0,1307,1,1,100.0,0,0.0,794,4063,2586,0,0,0,1,0,718,0,Matches
327,Lisandro Martínez,ar ARG,DF,Manchester Utd,27-096,1998,19.5,1524,156,713,697,125,18,1524,7,6,85.7,1,14.3,1017,5141,3129,23,23,2,1,3,1069,7,Matches
328,Pape Matar Sarr,sn SEN,MF,Tottenham,22-222,2002,17.7,1110,32,231,623,274,26,1110,25,11,44.0,12,48.0,713,4151,1736,29,31,5,25,21,798,50,Matches
329,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27-300,1997,27.1,680,24,57,327,310,86,678,42,18,42.9,20,47.6,362,1868,888,37,20,8,67,41,501,114,Matches
330,Stephy Mavididi,eng ENG,FW,Leicester City,26-328,1998,17.9,863,23,132,327,421,61,863,95,35,36.8,47,49.5,583,4343,2355,91,40,27,39,35,623,138,Matches
331,Konstantinos Mavropanos,gr GRE,DF,West Ham,27-134,1997,20.6,1360,204,706,602,60,22,1360,17,9,52.9,5,29.4,745,3730,2069,16,10,1,12,0,886,2,Matches
332,Noussair Mazraoui,ma MAR,DF,Manchester Utd,27-161,1997,28.5,1940,154,767,894,303,26,1940,43,24,55.8,16,37.2,1070,4972,2613,36,28,3,23,16,1175,47,Matches
333,Bryan Mbeumo,cm CMR,FW,Brentford,25-260,1999,32.9,1523,47,216,483,851,137,1518,93,42,45.2,39,41.9,924,5826,3035,110,61,64,87,38,1034,300,Matches
334,James Mcatee,eng ENG,"MF,FW",Manchester City,22-188,2002,3.3,145,2,16,58,72,19,145,7,2,28.6,5,71.4,82,417,187,7,5,1,5,1,104,25,Matches
335,Kasey McAteer,ie IRL,"FW,MF",Leicester City,23-153,2001,5.4,237,16,49,92,102,19,237,13,1,7.7,8,61.5,146,944,413,13,9,7,9,6,162,42,Matches
336,Alex McCarthy,eng ENG,GK,Southampton,35-142,1989,5.0,173,141,173,0,0,0,173,0,0,,0,,100,452,276,0,0,0,0,0,88,0,Matches
337,John McGinn,sct SCO,"MF,FW",Aston Villa,30-188,1994,22.1,965,27,154,514,307,52,965,43,17,39.5,12,27.9,530,2671,1142,30,16,6,33,25,677,70,Matches
338,Dwight McNeil,eng ENG,"MF,FW",Everton,25-153,1999,12.9,625,3,64,269,307,19,625,38,21,55.3,16,42.1,362,2260,957,32,29,4,22,25,419,66,Matches
339,Scott McTominay,sct SCO,MF,Manchester Utd,28-137,1996,0.2,14,1,3,8,3,1,14,1,0,0.0,1,100.0,10,68,44,0,0,0,1,1,9,2,Matches
340,Ben Mee,eng ENG,DF,Brentford,35-215,1989,2.0,138,18,66,62,11,3,138,0,0,,0,,78,404,274,3,1,1,0,0,86,2,Matches
341,Jayden Meghoma,eng ENG,DF,Brentford,18-300,2006,0.1,3,1,2,0,1,0,3,0,0,,0,,1,1,0,0,0,0,0,0,2,0,Matches
342,Mikel Merino,es ESP,"MF,FW",Arsenal,28-306,1996,15.6,709,35,127,300,291,72,709,17,7,41.2,6,35.3,349,1337,638,9,12,4,21,22,460,86,Matches
343,Shumaira Mheuka,eng ENG,MF,Chelsea,17-186,2007,0.0,2,0,0,0,2,1,2,0,0,,0,,1,0,0,0,0,0,0,0,2,0,Matches
344,Nikola Milenković,rs SRB,DF,Nott'ham Forest,27-194,1997,32.0,1189,225,650,463,80,58,1189,1,1,100.0,0,0.0,454,1973,939,3,3,2,2,2,603,6,Matches
345,Lewis Miley,eng ENG,MF,Newcastle Utd,18-358,2006,2.5,175,5,37,97,42,5,175,2,0,0.0,1,50.0,87,440,174,1,1,0,5,1,124,6,Matches
346,James Milner,eng ENG,MF,Brighton,39-110,1986,1.9,92,3,13,48,31,4,92,1,1,100.0,0,0.0,46,223,97,1,1,0,0,0,58,10,Matches
347,Tyrone Mings,eng ENG,DF,Aston Villa,32-042,1993,11.7,767,139,388,340,43,15,767,2,2,100.0,0,0.0,472,2597,1333,6,12,0,3,1,523,0,Matches
348,Yankuba Minteh,gm GAM,"FW,MF",Brighton,20-276,2004,16.3,670,27,121,192,375,112,670,79,37,46.8,35,44.3,378,2687,1585,63,17,49,41,19,391,154,Matches
349,Tyrick Mitchell,eng ENG,DF,Crystal Palace,25-235,1999,31.7,1614,104,560,615,452,42,1614,31,13,41.9,15,48.4,742,3411,1564,56,33,9,35,28,828,160,Matches
350,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27-339,1997,27.7,1284,15,146,443,722,153,1284,126,48,38.1,73,57.9,775,6198,3613,136,76,54,49,22,900,274,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
351,Jakub Moder,pl POL,MF,Brighton,26-017,1999,0.1,27,2,7,12,9,1,27,0,0,,0,,13,93,62,2,3,0,0,0,14,0,Matches
352,Jeremy Monga,,FW,Leicester City,,,0.3,12,0,0,7,5,0,12,3,0,0.0,2,66.7,10,106,4,0,1,0,2,1,10,3,Matches
353,Mikey Moore,eng ENG,"FW,MF",Tottenham,17-256,2007,2.1,96,1,10,22,65,12,96,11,1,9.1,9,81.8,68,521,239,9,3,4,6,4,73,30,Matches
354,Morato,br BRA,DF,Nott'ham Forest,23-298,2001,8.9,382,82,237,128,19,2,382,1,1,100.0,0,0.0,124,610,273,0,2,0,6,3,158,1,Matches
355,Álex Moreno,es ESP,"DF,MF",Nott'ham Forest,31-320,1993,10.6,559,60,210,202,158,8,559,21,8,38.1,8,38.1,229,1470,864,26,16,4,13,6,258,34,Matches
356,Sam Morsy,eg EGY,MF,Ipswich Town,33-226,1991,25.9,1439,81,429,817,206,4,1439,20,12,60.0,6,30.0,739,3943,1704,14,20,2,14,9,968,9,Matches
357,Yerson Mosquera,co COL,DF,Wolves,23-357,2001,4.9,294,43,170,115,12,7,294,0,0,,0,,168,683,322,0,1,0,4,1,182,0,Matches
358,Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-104,1999,3.9,175,3,24,85,67,12,175,4,0,0.0,3,75.0,114,548,218,7,8,1,7,8,130,15,Matches
359,Divin Mubama,eng ENG,FW,Manchester City,20-181,2004,0.3,5,0,0,2,3,1,5,0,0,,0,,2,14,0,0,0,0,0,1,3,0,Matches
360,Mykhailo Mudryk,ua UKR,FW,Chelsea,24-109,2001,1.7,62,3,12,15,38,6,62,8,3,37.5,5,62.5,39,468,227,7,8,0,3,7,42,12,Matches
361,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28-306,1996,7.8,244,14,34,139,73,20,244,6,1,16.7,4,66.7,94,331,98,4,2,3,24,9,122,23,Matches
362,Rodrigo Muniz,br BRA,FW,Fulham,23-355,2001,10.7,311,14,27,161,127,55,311,18,6,33.3,9,50.0,157,651,187,6,4,3,47,24,237,31,Matches
363,Daniel Muñoz,co COL,DF,Crystal Palace,28-333,1996,31.9,1787,107,507,743,556,89,1787,50,19,38.0,29,58.0,695,3469,1464,49,32,15,50,18,847,184,Matches
364,Arijanet Muric,xk KVX,GK,Ipswich Town,26-168,1998,18.0,689,559,672,18,0,0,689,0,0,,0,,405,2088,1178,0,0,0,3,1,321,0,Matches
365,Murillo,br BRA,DF,Nott'ham Forest,22-294,2002,31.5,1665,375,853,737,89,17,1665,33,26,78.8,7,21.2,706,3633,2162,19,24,1,18,9,839,4,Matches
366,Jacob Murphy,eng ENG,FW,Newcastle Utd,30-059,1995,22.4,1056,20,157,399,511,76,1056,60,30,50.0,28,46.7,621,3764,1983,67,30,23,28,33,755,187,Matches
367,Vitaliy Mykolenko,ua UKR,DF,Everton,25-330,1999,29.2,1433,110,455,618,371,24,1433,18,7,38.9,8,44.4,581,2418,1348,29,23,1,19,8,721,75,Matches
368,Iliman Ndiaye,sn SEN,FW,Everton,25-049,2000,23.5,941,32,194,387,408,74,939,132,61,46.2,62,47.0,543,4265,2140,78,39,29,48,38,571,105,Matches
369,Wilfred Ndidi,ng NGA,MF,Leicester City,28-129,1996,21.9,1162,109,391,555,226,56,1162,29,12,41.4,15,51.7,551,2265,922,14,19,2,33,28,677,72,Matches
370,Kosta Nedeljković,rs SRB,DF,Aston Villa,19-129,2005,1.4,66,4,15,32,19,0,66,2,1,50.0,1,50.0,27,101,33,1,0,0,1,0,32,0,Matches
371,Reiss Nelson,eng ENG,FW,Arsenal,25-135,1999,0.0,2,0,1,1,0,0,2,0,0,,0,,1,4,4,0,0,0,0,0,1,0,Matches
372,Reiss Nelson,eng ENG,FW,Fulham,25-135,1999,5.4,347,5,30,110,212,35,347,35,13,37.1,13,37.1,259,1956,960,45,25,21,14,8,274,63,Matches
373,Neto,br BRA,GK,Bournemouth,35-279,1989,2.0,70,60,70,0,0,0,70,0,0,,0,,35,148,99,0,0,0,0,0,28,0,Matches
374,Pedro Neto,pt POR,FW,Chelsea,25-046,2000,20.4,961,8,79,277,617,101,961,87,26,29.9,39,44.8,632,5190,2652,106,49,37,36,24,707,216,Matches
375,Eddie Nketiah,eng ENG,"FW,MF",Crystal Palace,25-329,1999,9.8,359,9,38,150,178,59,359,19,10,52.6,6,31.6,210,1554,826,38,22,13,30,15,256,65,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
376,Christopher Nkunku,fr FRA,FW,Chelsea,27-161,1997,10.2,448,10,52,183,217,52,448,27,10,37.0,14,51.9,280,1368,628,17,16,13,18,17,356,68,Matches
377,Gustavo Nunes,br BRA,"MF,FW",Brentford,19-155,2005,0.0,2,1,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,1,0,0,0,Matches
378,Matheus Nunes,pt POR,"DF,MF",Manchester City,26-240,1998,15.6,1166,35,207,442,522,53,1166,33,15,45.5,13,39.4,717,3840,1991,56,26,22,27,11,842,151,Matches
379,Darwin Núñez,uy URU,FW,Liverpool,25-304,1999,11.2,326,10,43,110,183,60,326,21,8,38.1,12,57.1,175,939,492,20,16,10,21,17,216,67,Matches
380,Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,18-034,2007,9.1,491,3,43,159,294,39,491,55,32,58.2,17,30.9,330,2624,1233,44,21,16,20,17,358,101,Matches
381,Christian Nørgaard,dk DEN,MF,Brentford,31-045,1994,26.3,1526,153,530,723,288,50,1526,12,6,50.0,4,33.3,703,2656,1147,12,12,4,28,18,916,34,Matches
382,Jake O'Brien,ie IRL,DF,Everton,23-344,2001,13.5,686,56,273,283,132,18,686,9,3,33.3,5,55.6,282,1213,500,7,5,2,5,5,343,24,Matches
383,Matt O'Riley,dk DEN,MF,Brighton,24-154,2000,7.5,400,15,62,179,161,33,400,12,7,58.3,4,33.3,205,874,432,16,11,5,13,3,233,40,Matches
384,Dara O'Shea,ie IRL,DF,Ipswich Town,26-051,1999,29.7,1772,350,1025,642,110,46,1772,2,1,50.0,1,50.0,795,3472,1713,3,2,0,11,4,1015,6,Matches
385,Chidozie Obi-Martin,dk DEN,FW,Manchester Utd,17-146,2007,0.5,21,1,4,9,8,2,21,1,0,0.0,1,100.0,10,59,27,1,0,0,2,1,13,5,Matches
386,Wilson Odobert,fr FRA,FW,Tottenham,20-147,2004,5.7,278,4,27,98,155,29,278,28,11,39.3,14,50.0,201,1578,956,36,20,16,14,12,209,52,Matches
387,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,27-358,1997,2.6,70,3,11,19,40,6,70,7,1,14.3,3,42.9,41,330,139,7,2,2,4,2,43,15,Matches
388,Caleb Okoli,it ITA,DF,Leicester City,23-285,2001,12.5,804,152,450,324,35,10,804,0,0,,0,,467,2304,1106,3,6,0,10,2,483,2,Matches
389,Robin Olsen,se SWE,GK,Aston Villa,35-106,1990,2.0,83,73,82,1,0,0,83,0,0,,0,,44,226,109,0,0,0,0,0,41,0,Matches
390,Amadou Onana,be BEL,MF,Aston Villa,23-251,2001,15.0,836,60,227,490,132,20,836,17,11,64.7,3,17.6,459,2351,1237,20,20,1,10,9,563,13,Matches
391,André Onana,cm CMR,GK,Manchester Utd,29-022,1996,32.0,1286,975,1265,22,0,0,1286,0,0,,0,,912,4619,2579,0,0,0,1,0,791,0,Matches
392,Paul Onuachu,ng NGA,FW,Southampton,30-331,1994,10.9,410,15,41,220,152,60,410,25,7,28.0,14,56.0,198,800,237,7,5,2,46,33,336,39,Matches
393,Frank Onyeka,ng NGA,MF,Brentford,27-113,1998,0.3,10,0,1,5,4,0,10,0,0,,0,,6,55,14,0,0,0,2,1,6,0,Matches
394,Lewis Orford,eng ENG,MF,West Ham,19-065,2006,0.5,42,1,8,28,7,2,42,0,0,,0,,22,98,27,0,0,0,1,0,31,1,Matches
395,Stefan Ortega,de GER,GK,Manchester City,32-169,1992,12.2,492,383,489,3,0,0,492,0,0,,0,,323,1489,864,0,0,0,0,0,309,0,Matches
396,William Osula,dk DEN,FW,Newcastle Utd,21-263,2003,1.0,31,1,2,17,12,3,31,5,2,40.0,3,60.0,17,91,17,1,1,0,5,4,16,7,Matches
397,Dango Ouattara,bf BFA,FW,Bournemouth,23-072,2002,20.5,885,55,148,285,470,123,885,74,36,48.6,32,43.2,454,3288,1611,73,32,37,55,30,535,184,Matches
398,Nico O’Reilly,eng ENG,DF,Manchester City,20-034,2005,5.1,369,12,58,201,115,15,369,13,9,69.2,4,30.8,224,1088,542,15,12,0,10,8,265,23,Matches
399,Alex Palmer,eng ENG,GK,Ipswich Town,28-257,1996,9.0,317,268,312,6,0,0,317,0,0,,0,,143,813,486,0,0,0,1,0,101,0,Matches
400,Cole Palmer,eng ENG,MF,Chelsea,22-353,2002,30.5,1606,20,127,709,791,125,1602,100,44,44.0,41,41.0,1014,6787,3231,101,66,35,58,32,1184,161,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
401,Emerson Palmieri,it ITA,DF,West Ham,30-264,1994,21.4,1222,75,393,516,328,25,1222,30,10,33.3,17,56.7,504,2807,1601,42,22,8,22,7,682,75,Matches
402,Lucas Paquetá,br BRA,"MF,FW",West Ham,27-240,1997,24.1,1593,53,320,877,409,54,1591,38,15,39.5,18,47.4,807,2833,1174,20,30,2,49,48,1121,81,Matches
403,Thomas Partey,gh GHA,"MF,DF",Arsenal,31-315,1993,27.1,1926,64,400,1060,477,27,1926,30,20,66.7,8,26.7,1088,5793,3086,31,36,3,20,14,1372,45,Matches
404,Nathan Patterson,sct SCO,"DF,FW",Everton,23-190,2001,2.3,126,6,31,51,46,4,126,8,7,87.5,0,0.0,50,220,113,4,2,2,3,1,63,7,Matches
405,Andreas Pereira,br BRA,MF,Fulham,29-113,1996,20.4,1066,16,153,438,492,38,1065,29,13,44.8,8,27.6,547,2625,1254,27,34,8,24,21,633,77,Matches
406,Ricardo Pereira,pt POR,DF,Leicester City,31-200,1993,3.3,216,12,59,121,37,5,216,8,5,62.5,2,25.0,110,336,137,3,3,2,2,0,119,5,Matches
407,Kalvin Phillips,eng ENG,MF,Ipswich Town,29-143,1995,13.5,722,60,220,388,118,4,722,12,5,41.7,6,50.0,302,1447,541,4,5,0,24,10,383,4,Matches
408,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,23-075,2002,3.7,145,4,27,54,66,14,145,15,4,26.7,8,53.3,75,520,239,7,5,7,7,3,83,17,Matches
409,Jaden Philogene Bidace,eng ENG,"FW,DF",Ipswich Town,23-075,2002,5.3,220,10,53,68,101,18,220,18,5,27.8,11,61.1,127,862,305,13,3,5,11,10,133,36,Matches
410,Jordan Pickford,eng ENG,GK,Everton,31-048,1994,33.0,1466,955,1401,66,0,0,1466,0,0,,0,,822,5043,2940,0,0,0,2,0,723,0,Matches
411,Ethan Pinnock,jm JAM,DF,Brentford,31-330,1993,21.3,1348,294,783,457,109,24,1348,9,3,33.3,6,66.7,633,3117,1633,3,4,0,2,4,760,9,Matches
412,Daniel Podence,pt POR,"MF,FW",Wolves,29-185,1995,0.5,20,0,2,11,7,0,20,2,2,100.0,0,0.0,13,77,43,1,1,0,0,0,17,3,Matches
413,Alfie Pond,eng ENG,DF,Wolves,21-054,2004,0.0,1,0,0,1,0,0,1,0,0,,0,,1,2,2,0,0,0,0,0,1,0,Matches
414,Nick Pope,eng ENG,GK,Newcastle Utd,33-005,1992,23.0,733,586,723,10,0,0,733,0,0,,0,,381,2121,1431,0,0,0,0,1,257,0,Matches
415,Pedro Porro,es ESP,DF,Tottenham,25-223,1999,27.4,2131,124,623,772,749,30,2131,39,13,33.3,24,61.5,1132,5141,2677,63,40,5,23,17,1229,106,Matches
416,Jarell Quansah,eng ENG,DF,Liverpool,22-085,2003,3.5,272,36,134,113,25,5,272,2,1,50.0,1,50.0,165,922,483,2,3,1,4,2,190,4,Matches
417,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,23-193,2001,1.6,72,60,71,1,0,0,72,0,0,,0,,44,191,80,0,0,0,0,0,36,0,Matches
418,Aaron Ramsdale,eng ENG,GK,Southampton,26-345,1998,25.0,1111,803,1094,20,0,0,1111,0,0,,0,,687,3509,2044,0,0,0,2,0,621,0,Matches
419,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23-331,2001,16.5,712,12,134,252,338,66,712,42,24,57.1,10,23.8,466,3131,1598,57,31,19,39,21,542,103,Matches
420,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,27-175,1997,10.9,440,3,35,189,222,34,440,39,9,23.1,26,66.7,293,1694,728,20,19,12,14,6,341,79,Matches
421,Marcus Rashford,eng ENG,FW,Aston Villa,27-175,1997,4.9,227,2,14,58,159,30,226,22,9,40.9,13,59.1,127,892,471,22,10,15,8,1,149,42,Matches
422,David Raya,es ESP,GK,Arsenal,29-221,1995,34.0,1322,772,1242,80,0,0,1322,1,1,100.0,0,0.0,820,4100,2470,0,0,0,1,0,755,0,Matches
423,Harrison Reed,eng ENG,MF,Fulham,30-087,1995,1.0,77,2,11,28,39,5,77,2,0,0.0,1,50.0,31,95,27,1,1,0,2,2,38,7,Matches
424,Remy Rees-Dottin,eng ENG,FW,Bournemouth,19-049,2006,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
