Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
56,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-129,2002,26.4,1581,113,564,711,319,15,1581,17,8,47.1,8,47.1,800,3839,1806,39,25,5,13,12,872,75,Matches
57,Beto,gw GNB,FW,Everton,27-083,1998,12.5,385,20,39,172,179,64,385,30,16,53.3,13,43.3,202,1006,382,12,8,9,50,29,276,58,Matches
58,Philip Billing,dk DEN,MF,Bournemouth,28-317,1996,2.0,148,5,20,72,57,12,148,3,1,33.3,0,0.0,58,254,163,3,1,1,7,4,75,13,Matches
59,Yves Bissouma,ml MLI,MF,Tottenham,28-237,1996,13.4,938,58,261,535,148,5,938,21,7,33.3,14,66.7,564,3369,1513,15,17,0,22,13,657,3,Matches
60,Oscar Bobb,no NOR,FW,Manchester City,21-286,2003,0.2,11,0,1,3,7,0,11,2,2,100.0,0,0.0,9,57,32,1,0,0,0,0,11,1,Matches
61,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-109,2004,5.3,325,16,95,191,40,4,325,4,2,50.0,1,25.0,173,1031,599,12,6,1,6,8,212,9,Matches
62,Willy Boly,ci CIV,DF,Nott'ham Forest,34-080,1991,1.7,97,22,63,32,2,1,97,0,0,,0,,35,128,45,0,0,0,1,0,46,0,Matches
63,Sven Botman,nl NED,DF,Newcastle Utd,25-102,2000,2.5,156,24,63,89,5,5,156,3,1,33.3,1,33.3,82,350,171,0,0,0,1,0,101,0,Matches
64,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-125,1996,28.2,1064,24,121,388,578,145,1063,113,40,35.4,64,56.6,629,4561,2176,93,41,51,66,66,694,176,Matches
65,Conor Bradley,nir NIR,DF,Liverpool,21-289,2003,5.9,511,17,142,238,140,33,511,16,6,37.5,9,56.3,282,1730,1012,26,17,7,8,2,322,27,Matches
66,Jarrad Branthwaite,eng ENG,DF,Everton,22-301,2002,24.1,1263,181,667,547,56,22,1263,5,3,60.0,1,20.0,601,3322,1996,9,13,2,8,3,725,1,Matches
67,James Bree,eng ENG,DF,Southampton,27-195,1997,9.9,598,42,194,261,148,10,598,8,4,50.0,2,25.0,316,1372,688,9,11,0,6,4,385,34,Matches
68,Ben Brereton,cl CHI,FW,Southampton,26-006,1999,5.0,206,4,19,76,112,20,206,4,1,25.0,2,50.0,136,791,394,12,13,4,9,4,171,42,Matches
69,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-019,1998,6.7,276,7,38,139,109,19,276,32,16,50.0,14,43.8,152,1079,502,17,14,4,18,11,191,27,Matches
70,Armando Broja,al ALB,FW,Everton,23-226,2001,3.7,127,4,14,47,72,18,127,16,8,50.0,7,43.8,64,577,281,12,8,3,16,13,94,26,Matches
71,David Brooks,wls WAL,"FW,MF",Bournemouth,27-290,1997,9.1,446,12,53,163,238,32,446,30,8,26.7,19,63.3,275,1838,802,25,21,8,27,10,303,75,Matches
72,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-120,1996,1.1,82,0,17,35,31,3,82,2,0,0.0,2,100.0,53,185,119,3,5,0,4,3,64,6,Matches
73,Santiago Bueno,uy URU,DF,Wolves,26-166,1998,18.6,1001,166,506,477,21,6,1001,4,0,0.0,4,100.0,545,2719,1427,1,2,0,2,2,647,1,Matches
74,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-122,2004,15.9,826,25,120,424,295,34,826,75,25,33.3,46,61.3,452,2851,1289,38,26,8,52,38,503,66,Matches
75,Cameron Burgess,au AUS,DF,Ipswich Town,29-185,1995,14.1,814,186,484,287,44,21,814,0,0,,0,,384,1778,922,2,4,0,2,0,479,4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
76,Dan Burn,eng ENG,DF,Newcastle Utd,32-350,1992,32.0,2037,326,1158,788,96,44,2037,4,3,75.0,1,25.0,1164,5331,2312,9,4,1,21,3,1372,9,Matches
77,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-152,1994,10.3,350,21,69,129,160,18,350,24,9,37.5,14,58.3,216,1458,696,38,13,10,17,13,220,65,Matches
78,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,22-110,2003,0.1,1,0,0,0,1,1,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
