Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
58,Philip Billing,dk DEN,MF,Bournemouth,28-317,1996,2.0,70,102,68.6,1023,400,43,51,84.3,19,27,70.4,4,15,26.7,0,1.1,1.0,-1.1,9,9,7,2,15,Matches
59,Yves Bissouma,ml MLI,MF,Tottenham,28-237,1996,13.4,693,775,89.4,10536,2727,378,407,92.9,255,273,93.4,36,57,63.2,0,0.3,0.6,-0.3,6,57,10,1,71,Matches
60,Oscar Bobb,no NOR,FW,Manchester City,21-286,2003,0.2,9,11,81.8,116,22,5,7,71.4,3,3,100.0,0,0,,0,0.1,0.0,-0.1,1,0,1,0,1,Matches
61,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-109,2004,5.3,240,272,88.2,3682,1154,129,139,92.8,107,116,92.2,3,9,33.3,0,0.1,0.1,-0.1,2,24,1,0,14,Matches
62,Willy Boly,ci CIV,DF,Nott'ham Forest,34-080,1991,1.7,55,70,78.6,1010,477,20,22,90.9,30,32,93.8,4,15,26.7,0,0.0,0.0,0.0,0,3,0,0,2,Matches
63,Sven Botman,nl NED,DF,Newcastle Utd,25-102,2000,2.5,113,128,88.3,1909,767,54,64,84.4,50,51,98.0,6,9,66.7,0,0.0,0.0,0.0,0,6,0,0,3,Matches
64,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-125,1996,28.2,488,683,71.4,8051,2381,262,314,83.4,168,217,77.4,44,84,52.4,5,5.4,5.4,-0.4,45,37,40,6,84,Matches
65,Conor Bradley,nir NIR,DF,Liverpool,21-289,2003,5.9,358,427,83.8,5339,1376,206,225,91.6,134,152,88.2,11,31,35.5,1,0.5,0.6,+0.5,5,20,3,1,25,Matches
66,Jarrad Branthwaite,eng ENG,DF,Everton,22-301,2002,24.1,790,973,81.2,15498,6108,288,323,89.2,400,441,90.7,96,179,53.6,1,0.6,0.4,+0.4,2,71,2,0,54,Matches
67,James Bree,eng ENG,DF,Southampton,27-195,1997,9.9,437,521,83.9,6984,1895,208,229,90.8,197,223,88.3,24,47,51.1,1,0.9,0.7,+0.1,10,25,6,5,30,Matches
68,Ben Brereton,cl CHI,FW,Southampton,26-006,1999,5.0,128,166,77.1,1836,383,83,95,87.4,36,53,67.9,7,11,63.6,0,0.1,0.1,-0.1,3,9,2,1,9,Matches
69,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-019,1998,6.7,149,196,76.0,2132,415,91,104,87.5,51,64,79.7,3,12,25.0,0,0.6,1.1,-0.6,6,10,4,0,12,Matches
70,Armando Broja,al ALB,FW,Everton,23-226,2001,3.7,53,73,72.6,594,101,35,45,77.8,10,12,83.3,2,3,66.7,0,0.2,0.1,-0.2,4,3,0,0,2,Matches
71,David Brooks,wls WAL,"FW,MF",Bournemouth,27-290,1997,9.1,243,328,74.1,3748,1129,138,163,84.7,80,105,76.2,18,36,50.0,0,1.7,1.7,-1.7,16,15,15,5,27,Matches
72,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-120,1996,1.1,49,60,81.7,624,166,33,36,91.7,12,14,85.7,1,5,20.0,0,0.0,0.0,0.0,1,4,1,0,7,Matches
73,Santiago Bueno,uy URU,DF,Wolves,26-166,1998,18.6,726,824,88.1,13334,4114,256,277,92.4,406,432,94.0,51,90,56.7,0,0.0,0.1,0.0,0,23,2,0,28,Matches
74,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-122,2004,15.9,420,548,76.6,6625,1689,230,268,85.8,141,173,81.5,34,70,48.6,2,3.1,2.3,-1.1,24,39,13,2,51,Matches
75,Cameron Burgess,au AUS,DF,Ipswich Town,29-185,1995,14.1,524,648,80.9,9467,4531,220,243,90.5,245,282,86.9,52,106,49.1,1,0.5,0.3,+0.5,6,39,4,0,38,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
76,Dan Burn,eng ENG,DF,Newcastle Utd,32-350,1992,32.0,1524,1708,89.2,27526,9632,543,596,91.1,878,927,94.7,90,146,61.6,0,0.8,1.0,-0.8,7,30,7,0,54,Matches
77,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-152,1994,10.3,153,253,60.5,2416,597,82,102,80.4,51,78,65.4,14,36,38.9,1,1.6,1.2,-0.6,10,8,8,7,8,Matches
78,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,22-110,2003,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
79,Moisés Caicedo,ec ECU,MF,Chelsea,23-173,2001,32.2,1736,1931,89.9,30164,8011,767,831,92.3,789,851,92.7,148,189,78.3,2,2.9,2.6,-0.9,28,210,31,2,188,Matches
80,Tom Cairney,sct SCO,MF,Fulham,34-094,1991,5.4,475,524,90.6,7474,1619,261,280,93.2,181,193,93.8,28,38,73.7,0,0.8,1.0,-0.8,9,46,7,3,47,Matches
81,Jens Cajuste,se SWE,MF,Ipswich Town,25-257,1999,19.7,572,694,82.4,9440,1907,262,295,88.8,269,314,85.7,28,56,50.0,0,0.6,0.6,-0.6,11,45,5,1,46,Matches
82,Riccardo Calafiori,it ITA,DF,Arsenal,22-340,2002,10.3,449,526,85.4,6549,1644,272,297,91.6,150,175,85.7,19,28,67.9,1,0.3,0.7,+0.7,6,40,9,1,54,Matches
83,Dominic Calvert-Lewin,eng ENG,FW,Everton,28-039,1997,17.5,174,278,62.6,2035,488,126,180,70.0,35,60,58.3,3,8,37.5,1,0.6,0.7,+0.4,7,19,5,1,19,Matches
84,Diego Carlos,br BRA,DF,Aston Villa,32-040,1993,9.2,534,603,88.6,10941,4103,138,151,91.4,341,362,94.2,54,83,65.1,0,0.0,0.1,0.0,0,23,1,0,34,Matches
85,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-237,2002,5.1,126,178,70.8,1755,442,78,94,83.0,32,45,71.1,7,18,38.9,1,0.7,0.6,+0.3,4,11,5,1,17,Matches
86,Casemiro,br BRA,MF,Manchester Utd,33-060,1992,14.1,637,809,78.7,10614,3279,303,351,86.3,256,305,83.9,56,92,60.9,0,2.2,1.9,-2.2,19,64,19,6,65,Matches
87,Kaelan Casey,eng ENG,DF,West Ham,20-178,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
88,Matty Cash,pl POL,DF,Aston Villa,27-260,1997,19.0,607,772,78.6,10099,2861,295,329,89.7,260,326,79.8,40,81,49.4,1,1.1,1.2,-0.1,10,36,8,4,38,Matches
89,Eiran Cashin,ie IRL,DF,Brighton,23-166,2001,0.2,23,28,82.1,407,196,9,10,90.0,13,13,100.0,1,5,20.0,0,0.0,0.0,0.0,0,5,0,0,6,Matches
90,Timothy Castagne,be BEL,DF,Fulham,29-140,1995,18.1,768,939,81.8,12239,3861,392,436,89.9,321,374,85.8,37,75,49.3,1,1.2,0.6,-0.2,9,51,5,3,61,Matches
91,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-293,1999,11.8,349,442,79.0,6831,2195,125,141,88.7,178,209,85.2,42,82,51.2,0,0.4,0.3,-0.4,4,27,2,1,34,Matches
92,Trevoh Chalobah,eng ENG,DF,Chelsea,25-293,1999,7.3,471,522,90.2,8165,2485,210,222,94.6,227,241,94.2,30,51,58.8,1,1.2,0.3,-0.2,3,34,3,0,29,Matches
93,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-067,1997,6.9,171,234,73.1,2676,699,85,102,83.3,75,96,78.1,6,18,33.3,1,0.6,0.6,+0.4,6,17,7,2,25,Matches
94,Youssef Chermiti,pt POR,"FW,MF",Everton,20-335,2004,0.2,2,5,40.0,44,9,1,3,33.3,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
95,Federico Chiesa,it ITA,FW,Liverpool,27-181,1997,0.4,21,25,84.0,247,63,15,16,93.8,4,6,66.7,1,1,100.0,0,0.0,0.1,0.0,0,3,0,0,2,Matches
96,Ben Chilwell,eng ENG,DF,Crystal Palace,28-124,1996,1.5,45,69,65.2,618,155,26,31,83.9,16,25,64.0,1,9,11.1,0,0.2,0.3,-0.2,2,4,2,0,3,Matches
97,Chiquinho,pt POR,MF,Wolves,25-078,2000,0.1,3,3,100.0,71,22,1,1,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,1,0,1,1,0,Matches
98,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,27-205,1997,1.5,72,84,85.7,991,249,47,50,94.0,23,29,79.3,2,4,50.0,0,0.4,0.2,-0.4,2,10,1,1,3,Matches
99,Ryan Christie,sct SCO,MF,Bournemouth,30-061,1995,23.5,837,1056,79.3,14882,4269,368,417,88.2,378,430,87.9,82,168,48.8,3,3.5,3.0,-0.5,41,118,33,5,137,Matches
100,Harry Clarke,eng ENG,DF,Ipswich Town,24-053,2001,4.2,190,236,80.5,3442,1226,87,95,91.6,77,88,87.5,23,40,57.5,0,0.0,0.1,0.0,1,21,1,0,14,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
101,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-152,2000,11.0,253,330,76.7,4122,1009,131,150,87.3,106,121,87.6,13,28,46.4,4,2.0,1.0,+2.0,22,23,6,0,32,Matches
102,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,34-019,1991,5.4,171,225,76.0,3113,1102,72,89,80.9,84,95,88.4,14,30,46.7,0,0.3,0.2,-0.3,3,16,2,1,7,Matches
103,Conor Coady,eng ENG,DF,Leicester City,32-058,1993,14.0,710,785,90.4,12280,4589,304,314,96.8,362,374,96.8,42,81,51.9,0,0.1,0.5,-0.1,1,29,2,0,26,Matches
104,Séamus Coleman,ie IRL,DF,Everton,36-195,1988,2.2,57,79,72.2,1046,504,27,29,93.1,24,31,77.4,6,16,37.5,0,0.0,0.0,0.0,0,6,0,0,8,Matches
105,Nathan Collins,ie IRL,DF,Brentford,23-359,2001,33.0,1501,1749,85.8,28532,9438,505,574,88.0,863,934,92.4,120,201,59.7,2,1.5,1.3,+0.5,9,94,7,2,112,Matches
106,Toby Collyer,eng ENG,MF,Manchester Utd,21-111,2004,2.0,76,92,82.6,1127,121,37,43,86.0,32,37,86.5,3,4,75.0,0,0.3,0.4,-0.3,2,3,1,0,5,Matches
107,Levi Colwill,eng ENG,DF,Chelsea,22-057,2003,30.0,2105,2349,89.6,38297,13387,729,784,93.0,1232,1295,95.1,123,216,56.9,1,1.1,1.2,-0.1,14,141,7,3,122,Matches
108,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-080,1997,30.1,1128,1473,76.6,19646,6765,494,583,84.7,507,598,84.8,103,227,45.4,3,4.1,3.7,-1.1,47,149,25,10,152,Matches
109,Maxwel Cornet,ci CIV,FW,Southampton,28-209,1996,0.8,17,22,77.3,262,37,9,10,90.0,6,8,75.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
110,Vladimír Coufal,cz CZE,DF,West Ham,32-245,1992,9.6,362,465,77.8,5894,2220,186,208,89.4,144,180,80.0,25,60,41.7,0,0.6,0.9,-0.6,6,35,12,7,32,Matches
