Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
53,Daniel Bentley,eng ENG,GK,Wolves,31-285,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0,Matches
54,Sander Berge,no NOR,MF,Fulham,27-069,1998,21.9,4,0,0,26,8,0,3,20,28,0,0,0,116,25,19,56.8,Matches
55,Lucas Bergvall,se SWE,MF,Tottenham,19-081,2006,12.5,3,0,0,20,14,0,18,22,19,0,0,0,71,8,8,50.0,Matches
56,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-129,2002,26.4,1,0,0,17,17,3,96,40,50,0,1,1,97,19,42,31.1,Matches
57,Beto,gw GNB,FW,Everton,27-083,1998,12.5,2,0,0,28,16,14,3,3,6,0,0,0,29,72,83,46.5,Matches
58,Philip Billing,dk DEN,MF,Bournemouth,28-317,1996,2.0,1,0,0,3,2,0,10,5,5,0,0,0,14,6,4,60.0,Matches
59,Yves Bissouma,ml MLI,MF,Tottenham,28-237,1996,13.4,7,0,0,22,18,0,2,14,28,0,1,0,71,4,7,36.4,Matches
60,Oscar Bobb,no NOR,FW,Manchester City,21-286,2003,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
61,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-109,2004,5.3,2,0,0,8,11,0,0,1,6,0,0,0,13,6,6,50.0,Matches
62,Willy Boly,ci CIV,DF,Nott'ham Forest,34-080,1991,1.7,1,0,0,1,0,0,0,3,1,0,0,0,5,6,2,75.0,Matches
63,Sven Botman,nl NED,DF,Newcastle Utd,25-102,2000,2.5,1,0,0,4,2,0,0,4,3,0,0,0,8,9,5,64.3,Matches
64,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-125,1996,28.2,1,0,0,17,46,8,95,16,23,0,0,0,117,9,41,18.0,Matches
65,Conor Bradley,nir NIR,DF,Liverpool,21-289,2003,5.9,3,0,0,8,10,0,5,3,8,0,0,0,34,7,6,53.8,Matches
66,Jarrad Branthwaite,eng ENG,DF,Everton,22-301,2002,24.1,4,0,0,8,14,1,2,23,18,0,0,0,77,48,34,58.5,Matches
67,James Bree,eng ENG,DF,Southampton,27-195,1997,9.9,0,0,0,2,4,0,24,8,10,0,0,0,56,12,4,75.0,Matches
68,Ben Brereton,cl CHI,FW,Southampton,26-006,1999,5.0,1,0,0,4,8,1,5,0,2,0,0,0,16,9,7,56.3,Matches
